,"Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)","Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%)"
"Country","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Afghanistan","55","45","","","","","","","","","","","",""
"Angola","58","48","43","44","40","18","","","","","","","",""
"Argentina","72","80","78","75","61","","","","","","","","",""
"Armenia","92","93","94","94","93","91","33","","","","","","",""
"Australia","87","87","87","87","85","84","84","84","85","84","82","81","",""
"Austria","61","61","61","61","61","61","61","61","61","61","61","47","",""
"Bahamas","78","70","90","11","","","","","","","","","",""
"Bahrain","99","98","97","98","97","97","97","96","96","59","90","49","",""
"Belgium","87","87","87","87","88","86","86","86","","","","","",""
"Bolivia (Plurinational State of)","78","87","84","87","89","85","85","91","91","87","76","51","",""
"Botswana","86","87","85","88","92","95","85","74","","","","","",""
"Brazil","83","80","70","88","94","92","93","86","87","83","86","81","80","47"
"Bulgaria","31","31","","","","","","","","","","","",""
"Burkina Faso","91","91","91","91","91","91","9","","","","","","",""
"Burundi","95","92","93","96","96","84","","","","","","","",""
"Cameroon","65","65","70","68","61","34","","","","","","","",""
"Canada","79","79","79","","","","","","","","","","",""
"Colombia","90","90","90","90","91","89","87","87","78","74","55","","",""
"Congo","71","72","64","64","80","60","","","","","","","",""
"Costa Rica","59","","","","","","","","","","","","",""
"Côte d'Ivoire","70","59","40","","","","","","","","","","",""
